id,postcode,latitude,longitude
2,AB10,57.13514,-2.11731
3,AB11,57.13875,-2.09089
4,AB12,57.10100,-2.11060
5,AB13,57.10801,-2.23776
6,AB14,57.10076,-2.27073
7,AB15,57.13868,-2.16525
8,AB16,57.16115,-2.15543
9,AB21,57.20960,-2.20033
10,AB22,57.18724,-2.11913
11,AB23,57.21242,-2.08776
12,AB24,57.16284,-2.11228
13,AB25,57.15311,-2.11241
14,AB30,56.84678,-2.47712
15,AB31,57.07479,-2.52623
16,AB32,57.15545,-2.31742
17,AB33,57.22464,-2.74203
18,AB34,57.09393,-2.81204
19,AB35,57.03829,-3.14869
20,AB36,57.19715,-3.06589
21,AB37,57.33098,-3.35051
22,AB38,57.48589,-3.22610
23,AB39,56.97778,-2.21718
24,AB41,57.37592,-2.10478
25,AB42,57.50079,-1.88819
26,AB43,57.65714,-2.04358
27,AB44,57.66877,-2.49122
28,AB45,57.65139,-2.56639
29,AB51,57.28907,-2.40485
30,AB52,57.34396,-2.60651
31,AB53,57.52537,-2.39410
32,AB54,57.45361,-2.76333
33,AB55,57.52390,-2.99024
34,AB56,57.67442,-2.92559
35,AL1,51.74836,-0.32237
36,AL10,51.75958,-0.22920
37,AL2,51.72064,-0.33353
38,AL3,51.77781,-0.37057
39,AL4,51.77133,-0.29398
40,AL5,51.81622,-0.35177
41,AL6,51.83104,-0.19737
42,AL7,51.79669,-0.18569
43,AL8,51.80334,-0.20863
44,AL9,51.74472,-0.19791
45,B1,52.47872,-1.90723
46,B10,52.46967,-1.85130
47,B11,52.45440,-1.85871
48,B12,52.45982,-1.88225
49,B13,52.43644,-1.87790
50,B14,52.41757,-1.88824
51,B15,52.46615,-1.92345
52,B16,52.47604,-1.93374
53,B17,52.46077,-1.96026
54,B18,52.49132,-1.92341
55,B19,52.49670,-1.90425
56,B2,52.47871,-1.89692
57,B20,52.51379,-1.91747
58,B21,52.50661,-1.93959
59,B23,52.52812,-1.85405
60,B24,52.51909,-1.82755
61,B25,52.46513,-1.82040
62,B26,52.46059,-1.78951
63,B27,52.44446,-1.82196
64,B28,52.42650,-1.84115
65,B29,52.43739,-1.94704
66,B3,52.48051,-1.90134
67,B30,52.42209,-1.92794
68,B31,52.40772,-1.97207
69,B32,52.44819,-1.99264
70,B33,52.48036,-1.78647
71,B34,52.49564,-1.78051
72,B35,52.51903,-1.78776
73,B36,52.50373,-1.77899
74,B37,52.47847,-1.74083
75,B38,52.39962,-1.93385
76,B4,52.48231,-1.89397
77,B40,52.45865,-1.72181
78,B42,52.53357,-1.91154
79,B43,52.54797,-1.92921
80,B44,52.54523,-1.88349
81,B45,52.38795,-2.00882
82,B46,52.50803,-1.69351
83,B47,52.38699,-1.87950
84,B48,52.35557,-1.94860
85,B49,52.21704,-1.86679
86,B5,52.46972,-1.89547
87,B50,52.16847,-1.85377
88,B6,52.50388,-1.88508
89,B60,52.32590,-2.04989
90,B61,52.34477,-2.06753
91,B62,52.45628,-2.03238
92,B63,52.45177,-2.06622
93,B64,52.47244,-2.06773
94,B65,52.48325,-2.04271
95,B66,52.49314,-1.96465
96,B67,52.48595,-1.97644
97,B68,52.47876,-2.00000
98,B69,52.50213,-2.02799
99,B7,52.49307,-1.87185
100,B70,52.52012,-2.00295
101,B71,52.53540,-1.98968
102,B72,52.55145,-1.82153
103,B73,52.55238,-1.84217
104,B74,52.58297,-1.85830
105,B75,52.57840,-1.80813
106,B76,52.54510,-1.78616
107,B77,52.61855,-1.66762
108,B78,52.60598,-1.67362
109,B79,52.65005,-1.68069
110,B8,52.49034,-1.84092
111,B80,52.27641,-1.89593
112,B9,52.47776,-1.84833
113,B90,52.40040,-1.82361
114,B91,52.41382,-1.78238
115,B92,52.43628,-1.77345
116,B93,52.38048,-1.74288
117,B94,52.35090,-1.79150
118,B95,52.28524,-1.78008
119,B96,52.25217,-1.96044
120,B97,52.29893,-1.95454
121,B98,52.30340,-1.91346
122,BA1,51.39109,-2.35934
123,BA10,51.11291,-2.44576
124,BA11,51.23652,-2.32519
125,BA12,51.17117,-2.18740
126,BA13,51.26201,-2.17917
127,BA14,51.31863,-2.20092
128,BA15,51.35088,-2.26425
129,BA16,51.12489,-2.74313
130,BA2,51.35957,-2.37633
131,BA20,50.93753,-2.64193
132,BA21,50.95107,-2.63358
133,BA22,50.96814,-2.63666
134,BA3,51.27468,-2.47313
135,BA4,51.17102,-2.53073
136,BA5,51.21266,-2.65291
137,BA6,51.14042,-2.70478
138,BA7,51.08833,-2.51835
139,BA8,50.99883,-2.41046
140,BA9,51.05729,-2.40955
141,BB1,53.75625,-2.46265
142,BB10,53.79919,-2.21865
143,BB11,53.78294,-2.25196
144,BB12,53.80353,-2.29005
145,BB18,53.91433,-2.17053
146,BB2,53.74171,-2.50039
147,BB3,53.69781,-2.46503
148,BB4,53.70376,-2.28936
149,BB5,53.75477,-2.37162
150,BB6,53.79238,-2.41598
151,BB7,53.87338,-2.38636
152,BB8,53.85771,-2.16270
153,BB9,53.83695,-2.21429
154,BD1,53.79554,-1.75252
155,BD10,53.83143,-1.72496
156,BD11,53.75131,-1.67543
157,BD12,53.74611,-1.76039
158,BD13,53.78582,-1.85883
159,BD14,53.78217,-1.81635
160,BD15,53.80917,-1.83597
161,BD16,53.84871,-1.83278
162,BD17,53.84681,-1.76742
163,BD18,53.83154,-1.77662
164,BD19,53.72713,-1.71200
165,BD2,53.81438,-1.73418
166,BD20,53.89646,-1.94673
167,BD21,53.86407,-1.90571
168,BD22,53.84522,-1.95288
169,BD23,53.99264,-2.05339
170,BD24,54.07773,-2.27361
171,BD3,53.79818,-1.72669
172,BD4,53.77569,-1.71773
173,BD5,53.77847,-1.75717
174,BD6,53.76414,-1.78305
175,BD7,53.78301,-1.78143
176,BD8,53.80099,-1.78134
177,BD9,53.81179,-1.78888
178,BH1,50.72427,-1.85973
179,BH10,50.75847,-1.89082
180,BH11,50.76119,-1.91634
181,BH12,50.73692,-1.92630
182,BH13,50.70993,-1.91785
183,BH14,50.72164,-1.94333
184,BH15,50.72165,-1.98442
185,BH16,50.73783,-2.04394
186,BH17,50.74593,-1.97449
187,BH18,50.75853,-1.99291
188,BH19,50.61102,-1.96890
189,BH2,50.72159,-1.88099
190,BH20,50.68648,-2.14582
191,BH21,50.81248,-1.97303
192,BH22,50.80524,-1.88787
193,BH23,50.74567,-1.75335
194,BH24,50.84377,-1.78551
195,BH25,50.75173,-1.65692
196,BH3,50.73508,-1.87954
197,BH31,50.87537,-1.87207
198,BH4,50.72071,-1.89799
199,BH5,50.72513,-1.83422
200,BH6,50.72688,-1.80446
201,BH7,50.73502,-1.83135
202,BH8,50.74044,-1.85118
203,BH9,50.74946,-1.87100
204,BL0,53.64526,-2.31468
205,BL1,53.59002,-2.44421
206,BL2,53.58749,-2.39432
207,BL3,53.56489,-2.43186
208,BL4,53.54702,-2.39999
209,BL5,53.54928,-2.51473
210,BL6,53.59142,-2.53941
211,BL7,53.62965,-2.42194
212,BL8,53.60478,-2.32647
213,BL9,53.59140,-2.28557
214,BN1,50.83900,-0.13786
215,BN10,50.79530,0.00232
216,BN11,50.81288,-0.37599
217,BN12,50.81354,-0.42423
218,BN13,50.83037,-0.40521
219,BN14,50.83181,-0.37959
220,BN15,50.83013,-0.32426
221,BN16,50.81446,-0.49377
222,BN17,50.81408,-0.53495
223,BN18,50.84881,-0.57933
224,BN2,50.82405,-0.10296
225,BN20,50.77449,0.25536
226,BN21,50.77228,0.27653
227,BN22,50.78832,0.28440
228,BN23,50.79764,0.31325
229,BN24,50.81618,0.33120
230,BN25,50.77633,0.10932
231,BN26,50.82098,0.22352
232,BN27,50.87146,0.26430
233,BN3,50.83419,-0.17498
234,BN41,50.84020,-0.21452
235,BN42,50.83686,-0.23169
236,BN43,50.83557,-0.26583
237,BN44,50.89036,-0.32210
238,BN45,50.88920,-0.18421
239,BN5,50.92645,-0.26815
240,BN6,50.92918,-0.15276
241,BN7,50.87719,0.00014
242,BN8,50.91318,0.05148
243,BN9,50.79536,0.05058
244,BR1,51.41107,0.02192
245,BR2,51.38858,0.02237
246,BR3,51.40297,-0.03020
247,BR4,51.37559,-0.00695
248,BR5,51.38983,0.10436
249,BR6,51.36575,0.09320
250,BR7,51.41019,0.07222
251,BR8,51.39751,0.17660
